City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,Santa Cruz,-17.8,-63.1667,76.46,69,40,5.75,BO,2022-02-07 00:39:33
195,Ginir,7.1333,40.7,56.82,24,100,4.03,ET,2022-02-07 00:44:06
196,Avera,33.194,-82.5271,46.27,55,100,8.68,US,2022-02-07 00:44:06
197,Navolato,24.7672,-107.6944,70.12,62,0,10.4,MX,2022-02-07 00:44:07
198,Comodoro Rivadavia,-45.8667,-67.5,69.66,43,0,3.44,AR,2022-02-07 00:44:07
199,Victor Harbor,-35.5667,138.6167,89.8,44,0,15.35,AU,2022-02-07 00:44:08
200,Vostok,46.4856,135.8833,2.77,87,97,2.84,RU,2022-02-07 00:44:08
201,Furukawa,38.5717,140.9556,33.55,60,65,15.73,JP,2022-02-07 00:44:09
202,Peniche,39.3558,-9.3811,54.63,71,6,9.53,PT,2022-02-07 00:44:09
203,Faanui,-16.4833,-151.75,81.32,73,100,18.79,PF,2022-02-07 00:44:10
204,San Angelo,31.4638,-100.437,55.62,30,0,7.0,US,2022-02-07 00:39:18
205,San Cristobal,7.7669,-72.225,69.98,90,25,1.3,VE,2022-02-07 00:44:10
206,Severo-Kurilsk,50.6789,156.125,32.27,81,100,11.5,RU,2022-02-07 00:44:10
207,Meulaboh,4.1363,96.1285,76.77,84,100,1.43,ID,2022-02-07 00:44:11
208,Jishou,28.3167,109.7167,34.36,95,100,3.15,CN,2022-02-07 00:44:11
209,Mweka,-4.85,21.5667,68.23,98,100,0.36,CD,2022-02-07 00:44:12
210,Talara,-4.5772,-81.2719,71.33,85,25,9.66,PE,2022-02-07 00:44:12
211,Port Hedland,-20.3167,118.5667,78.85,100,100,5.75,AU,2022-02-07 00:44:13
212,Port Blair,11.6667,92.75,75.24,94,40,6.91,IN,2022-02-07 00:44:13
213,Vila Velha,-20.3297,-40.2925,80.55,88,75,7.0,BR,2022-02-07 00:44:14
214,Prince Rupert,54.3161,-130.3201,48.29,66,90,17.27,CA,2022-02-07 00:44:14
215,Ahipara,-35.1667,173.1667,75.25,96,92,6.13,NZ,2022-02-07 00:44:15
216,Vao,-22.6667,167.4833,80.62,83,66,8.3,NC,2022-02-07 00:44:15
217,Plouzane,48.3833,-4.6167,51.98,90,90,11.5,FR,2022-02-07 00:44:16
218,Oriximina,-1.7656,-55.8661,74.93,92,100,2.98,BR,2022-02-07 00:44:16
219,Shingu,33.7333,135.9833,40.19,43,74,8.25,JP,2022-02-07 00:44:17
220,Amurzet,47.6967,131.0981,3.31,87,99,4.7,RU,2022-02-07 00:44:17
221,Chabahar,25.2919,60.643,69.91,64,0,11.86,IR,2022-02-07 00:44:18
222,Vanimo,-2.6741,141.3028,83.23,74,100,2.37,PG,2022-02-07 00:44:19
223,Praia,14.9215,-23.5087,70.34,78,0,18.41,CV,2022-02-07 00:44:19
224,Sechura,-5.5569,-80.8222,73.22,72,70,15.41,PE,2022-02-07 00:44:19
225,Kropotkin,45.4375,40.5756,31.26,86,100,10.04,RU,2022-02-07 00:44:20
226,Puro,12.4841,123.3827,80.22,76,100,12.84,PH,2022-02-07 00:44:20
227,Ancud,-41.8697,-73.8203,66.22,84,5,3.13,CL,2022-02-07 00:44:21
228,Pevek,69.7008,170.3133,-23.1,98,31,0.96,RU,2022-02-07 00:44:21
229,Collie,-33.3667,116.15,59.99,52,19,12.44,AU,2022-02-07 00:44:22
230,Nizhniy Kuranakh,58.8353,125.4869,-6.7,93,100,0.13,RU,2022-02-07 00:44:22
231,Batagay-Alyta,67.8006,130.4114,-25.29,96,100,3.31,RU,2022-02-07 00:44:23
232,Mayor Pablo Lagerenza,-19.9309,-60.7718,82.44,34,42,10.92,PY,2022-02-07 00:44:24
233,Kurchum,48.5722,83.6542,1.2,76,0,2.24,KZ,2022-02-07 00:45:24
234,Namibe,-15.1961,12.1522,73.04,68,100,9.15,AO,2022-02-07 00:43:15
235,Riihimaki,60.7377,24.7773,33.98,99,99,5.1,FI,2022-02-07 00:45:25
236,Lerwick,60.1545,-1.1494,39.2,53,86,34.38,GB,2022-02-07 00:45:26
237,Manokwari,-0.8667,134.0833,81.97,68,100,3.78,ID,2022-02-07 00:45:27
238,Birin,26.8865,88.0718,40.87,82,60,1.99,NP,2022-02-07 00:45:27
239,Kloulklubed,7.0419,134.2556,82.9,79,39,22.73,PW,2022-02-07 00:45:28
240,Masuda,34.6667,131.85,37.67,70,75,3.44,JP,2022-02-07 00:45:29
241,Acarau,-2.8856,-40.12,79.66,77,0,13.78,BR,2022-02-07 00:45:29
242,Port Elizabeth,-33.918,25.5701,70.11,77,0,4.61,ZA,2022-02-07 00:45:29
243,Carballo,43.213,-8.691,49.87,94,46,1.92,ES,2022-02-07 00:45:30
244,Muhos,64.808,25.9931,31.78,90,100,7.38,FI,2022-02-07 00:45:30
245,Mahon,39.8885,4.2658,48.76,87,0,4.61,ES,2022-02-07 00:43:28
246,Alugan,12.2188,125.4808,82.22,72,12,13.98,PH,2022-02-07 00:45:31
247,Tura,25.5198,90.2201,51.03,78,0,3.09,IN,2022-02-07 00:45:31
248,Sitka,57.0531,-135.33,44.49,76,100,9.22,US,2022-02-07 00:45:32
249,Nishihara,26.1842,127.7558,61.88,59,75,5.75,JP,2022-02-07 00:45:32
250,Pahrump,36.2083,-115.9839,65.5,12,0,1.99,US,2022-02-07 00:41:57
251,Suzun,53.7841,82.3116,-2.88,97,100,0.49,RU,2022-02-07 00:45:33
252,Sao Filipe,14.8961,-24.4956,72.81,75,0,5.7,CV,2022-02-07 00:45:34
253,Alofi,-19.0595,-169.9187,80.49,89,100,4.61,NU,2022-02-07 00:45:34
254,Khasan,42.4308,130.6434,19.99,50,2,11.95,RU,2022-02-07 00:45:35
255,Aranos,-24.1333,19.1167,73.45,57,99,7.45,NA,2022-02-07 00:45:35
256,Chapais,49.7834,-74.8492,4.78,95,100,6.89,CA,2022-02-07 00:45:36
257,Korla,41.7597,86.1469,21.67,50,74,3.33,CN,2022-02-07 00:45:36
258,Ranong,9.9658,98.6348,73.33,81,100,4.27,TH,2022-02-07 00:45:37
259,Tuatapere,-46.1333,167.6833,59.83,45,0,6.82,NZ,2022-02-07 00:43:59
260,Denpasar,-8.65,115.2167,82.06,88,20,9.22,ID,2022-02-07 00:45:37
261,Jurm,36.8648,70.8342,26.22,85,93,4.59,AF,2022-02-07 00:45:38
262,Tessalit,20.1986,1.0114,61.23,15,0,6.26,ML,2022-02-07 00:45:38
263,Ilulissat,69.2167,-51.1,1.42,71,20,10.36,GL,2022-02-07 00:45:39
264,Grindavik,63.8424,-22.4338,32.47,69,100,27.63,IS,2022-02-07 00:45:39
